frame,clase,confianza,area_porcentaje
1,car,0.992,0.88
1,car,0.9915,0.42
1,car,0.9862,0.55
1,traffic light,0.959,0.1
1,car,0.9384,0.22
1,car,0.6662,5.31
1,truck,0.6444,5.29
1,car,0.6366,0.5
2,car,0.9942,0.52
2,car,0.9842,0.52
2,traffic light,0.9835,0.1
2,car,0.9819,0.63
2,car,0.9525,2.37
2,truck,0.8833,2.65
2,person,0.8425,0.12
2,car,0.8419,20.54
3,car,0.9936,0.46
3,car,0.9906,0.24
3,car,0.984,2.47
3,traffic light,0.9664,0.09
3,car,0.9282,1.64
3,car,0.9181,0.41
3,car,0.914,21.2
3,traffic light,0.7749,0.08
4,car,0.9861,0.8
4,car,0.9834,0.28
4,car,0.9828,2.36
4,traffic light,0.9654,0.09
4,car,0.9182,0.86
4,car,0.9063,0.28
4,traffic light,0.7539,0.08
4,car,0.6499,20.04
5,car,0.9795,3.6
5,car,0.9761,0.86
5,car,0.9735,2.43
5,traffic light,0.9728,0.09
5,traffic light,0.9668,0.35
5,traffic light,0.8338,0.08
5,car,0.5841,18.5
6,car,0.9931,3.21
6,car,0.9918,0.35
6,car,0.9839,0.14
6,car,0.9812,2.26
6,traffic light,0.9641,0.09
6,car,0.9341,0.85
6,traffic light,0.745,0.08
6,car,0.724,22.03
7,car,0.9938,0.37
7,car,0.9924,1.75
7,car,0.9768,2.49
7,traffic light,0.9717,0.09
7,car,0.9705,0.55
7,traffic light,0.9503,0.37
7,car,0.9026,0.24
7,car,0.8639,19.52
8,car,0.9955,0.92
8,car,0.9904,0.4
8,car,0.9895,2.52
8,traffic light,0.9842,0.37
8,car,0.9773,0.59
8,traffic light,0.9531,0.09
8,traffic light,0.8811,0.09
8,car,0.6815,19.58
9,car,0.9945,2.6
9,car,0.9906,0.38
9,car,0.9865,0.43
9,traffic light,0.9689,0.41
9,traffic light,0.9547,0.09
9,car,0.8904,0.9
9,traffic light,0.8378,0.1
9,car,0.4691,19.05
10,car,0.9941,0.41
10,car,0.9843,2.53
10,traffic light,0.9652,0.39
10,traffic light,0.9553,0.09
10,traffic light,0.9354,0.08
10,car,0.9055,0.87
10,truck,0.8106,0.62
10,car,0.5888,0.43
11,car,0.9846,0.98
11,car,0.9806,0.4
11,traffic light,0.9678,0.09
11,traffic light,0.9614,0.41
11,traffic light,0.9528,0.08
11,car,0.9408,2.49
11,car,0.9341,0.92
11,car,0.8443,19.29
12,car,0.9748,0.44
12,traffic light,0.9598,0.41
12,traffic light,0.9566,0.09
12,car,0.954,0.98
12,traffic light,0.9427,0.08
12,car,0.9334,2.82
12,clock,0.611,1.06
12,car,0.5911,23.36
13,traffic light,0.9773,0.37
13,car,0.9681,0.45
13,car,0.9665,0.94
13,traffic light,0.9261,0.09
13,traffic light,0.9173,0.09
13,car,0.8974,0.88
13,car,0.8788,2.67
13,clock,0.6698,1.06
14,car,0.9835,0.94
14,traffic light,0.9761,0.37
14,car,0.9733,2.76
14,car,0.9678,0.28
14,traffic light,0.9594,0.09
14,traffic light,0.8936,0.08
14,truck,0.8146,1.18
14,car,0.7909,21.39
15,car,0.9861,1.02
15,traffic light,0.977,0.43
15,car,0.9459,0.45
15,traffic light,0.9379,0.09
15,car,0.9285,3.13
15,car,0.8231,20.91
15,truck,0.8026,0.39
15,traffic light,0.7967,0.11
16,traffic light,0.9897,0.41
16,car,0.9728,0.48
16,car,0.9449,3.58
16,traffic light,0.9245,0.1
16,car,0.8882,1.0
16,traffic light,0.7831,0.09
16,car,0.6759,20.72
16,clock,0.4064,1.1
17,car,0.9848,4.41
17,traffic light,0.9792,0.43
17,car,0.9601,0.43
17,car,0.905,0.99
17,traffic light,0.8994,0.09
17,traffic light,0.7748,0.08
17,car,0.4045,20.31
18,traffic light,0.9767,0.38
18,car,0.9652,0.98
18,car,0.9638,5.5
18,traffic light,0.8952,0.1
18,traffic light,0.8305,0.08
18,traffic light,0.5651,4.33
18,suitcase,0.5553,3.97
18,car,0.4348,31.35
19,car,0.9894,0.34
19,car,0.9891,1.03
19,car,0.9887,19.27
19,traffic light,0.9841,0.41
19,traffic light,0.9577,0.09
19,traffic light,0.9101,0.08
19,car,0.7258,5.21
19,bird,0.7193,0.75
20,car,0.9952,25.93
20,traffic light,0.9616,0.37
20,traffic light,0.9347,0.1
20,car,0.9232,22.81
20,car,0.8023,0.22
20,traffic light,0.7004,0.09
20,person,0.5676,0.79
21,car,0.9902,12.93
21,traffic light,0.9716,0.43
21,car,0.9451,4.04
21,traffic light,0.8843,0.1
21,traffic light,0.6613,0.11
21,car,0.6406,31.25
21,laptop,0.4388,16.81
22,car,0.9962,0.97
22,traffic light,0.9668,0.1
22,car,0.9617,4.97
22,traffic light,0.9505,0.37
22,traffic light,0.8234,0.09
22,car,0.7638,3.73
22,car,0.6873,2.12
23,car,0.9964,0.9
23,car,0.9713,4.41
23,traffic light,0.8817,0.12
23,traffic light,0.4896,0.37
24,car,0.9776,0.7
24,car,0.9679,4.44
24,traffic light,0.928,0.4
24,traffic light,0.8751,0.09
24,car,0.4751,19.64
25,traffic light,0.9719,0.37
25,car,0.9458,4.53
25,traffic light,0.8749,0.09
25,car,0.6496,0.56
25,car,0.5822,19.83
26,car,0.9526,4.47
26,traffic light,0.8994,0.35
26,traffic light,0.8919,0.12
26,person,0.7904,0.41
26,traffic light,0.4932,0.09
26,car,0.4842,20.54
27,car,0.9559,4.49
27,traffic light,0.8331,0.09
27,traffic light,0.7506,0.35
27,car,0.426,19.97
28,car,0.9907,4.65
28,traffic light,0.8947,0.35
28,traffic light,0.8794,0.11
28,car,0.6274,21.55
29,car,0.9798,4.63
29,traffic light,0.9583,0.37
29,traffic light,0.8965,0.09
29,car,0.7681,21.31
30,car,0.9763,4.59
30,traffic light,0.7667,0.39
30,traffic light,0.5728,0.13
31,car,0.9789,4.69
31,traffic light,0.8589,0.35
32,car,0.9755,4.56
32,traffic light,0.771,0.41
32,traffic light,0.6623,0.13
33,car,0.9636,4.54
33,traffic light,0.8528,0.35
33,traffic light,0.6695,0.08
34,car,0.9399,4.63
34,traffic light,0.7848,0.12
35,car,0.9562,4.5
35,traffic light,0.7315,0.1
35,traffic light,0.6327,0.37
35,car,0.5953,19.78
35,clock,0.4371,1.06
35,laptop,0.4215,17.74
36,car,0.9263,4.54
36,traffic light,0.8089,0.45
36,traffic light,0.695,0.11
37,car,0.8676,4.68
37,traffic light,0.5263,0.13
37,traffic light,0.492,0.35
38,car,0.9302,4.41
38,traffic light,0.7632,0.35
39,car,0.9379,4.47
39,traffic light,0.7834,0.1
39,car,0.5667,19.57
40,car,0.9668,4.5
40,traffic light,0.7424,0.11
40,traffic light,0.5745,0.37
40,car,0.5615,19.61
41,car,0.961,4.46
41,traffic light,0.7127,0.1
41,car,0.6482,17.01
41,person,0.5216,0.28
42,car,0.9611,4.39
42,traffic light,0.7237,0.09
42,clock,0.4131,1.06
43,car,0.977,0.2
43,car,0.9289,4.61
43,clock,0.5593,1.1
43,car,0.4347,0.08
43,person,0.4152,0.24
43,traffic light,0.4149,0.33
44,car,0.9606,4.42
44,traffic light,0.8862,0.12
45,book,0.8039,2.41
45,clock,0.7827,1.29
45,keyboard,0.4296,25.37
45,surfboard,0.411,31.85
46,clock,0.8262,1.19
46,surfboard,0.6472,29.0
46,toilet,0.5541,7.04
47,clock,0.7696,1.17
47,surfboard,0.5064,30.12
48,clock,0.8283,1.22
48,book,0.7293,3.1
48,surfboard,0.5669,30.39
48,truck,0.5666,0.23
48,book,0.5514,3.11
48,car,0.4305,0.25
49,clock,0.8336,1.26
49,truck,0.5405,0.36
49,car,0.4741,0.26
50,clock,0.7402,1.13
