frame,clase,confianza,area_porcentaje
1,person,0.9992,33.67
2,person,0.9986,30.87
2,person,0.4633,14.13
3,person,0.9979,29.52
3,baseball glove,0.9065,1.73
3,person,0.5463,43.28
4,person,0.9839,25.4
4,baseball glove,0.5863,2.35
5,baseball glove,0.9841,2.42
5,person,0.97,21.65
5,person,0.4028,57.86
6,person,0.9568,14.99
6,dog,0.4174,13.46
7,person,0.6281,2.03
7,person,0.5669,10.35
7,surfboard,0.4622,40.24
8,train,0.9425,5.42
8,person,0.7087,5.17
8,surfboard,0.5382,58.45
8,chair,0.4485,4.52
8,person,0.4068,10.57
9,train,0.9734,7.34
10,train,0.8872,10.16
11,boat,0.9723,12.43
11,skis,0.5422,11.94
12,person,0.6633,11.75
12,bench,0.4156,77.88
13,tv,0.4161,43.31
16,bench,0.4548,83.92
17,tv,0.4591,49.33
20,person,0.9614,8.13
20,bench,0.514,25.73
21,person,0.9906,10.04
21,bench,0.804,25.89
22,person,0.9859,8.87
22,bench,0.7344,35.54
22,person,0.6496,17.82
23,person,0.9921,8.52
23,bench,0.8495,32.42
23,book,0.5988,10.5
23,bench,0.414,78.49
24,person,0.9942,9.07
24,bench,0.6298,33.75
24,person,0.4206,17.92
25,person,0.827,16.46
25,person,0.4465,37.64
26,person,0.7888,4.78
27,book,0.457,33.67
29,bus,0.4887,5.33
29,person,0.4579,10.1
30,tv,0.4928,20.7
30,person,0.4217,1.79
30,book,0.4192,27.17
31,book,0.52,22.45
33,microwave,0.6453,5.72
33,book,0.4233,31.7
34,book,0.4724,22.99
34,chair,0.4668,9.79
34,microwave,0.4422,4.45
35,chair,0.4741,0.46
36,chair,0.7158,7.76
37,bus,0.4863,9.55
38,train,0.7001,7.36
38,person,0.6605,0.32
38,bench,0.6223,15.45
38,person,0.6125,1.31
38,truck,0.4734,7.07
39,train,0.9601,11.52
39,person,0.8603,2.42
40,boat,0.8036,10.2
40,person,0.7484,6.5
40,skis,0.4928,35.43
40,surfboard,0.4612,6.49
40,boat,0.4118,4.31
41,person,0.6948,9.68
41,bench,0.635,38.76
41,book,0.6125,8.38
41,person,0.4144,17.7
42,person,0.875,9.17
42,chair,0.4602,35.81
42,bench,0.4484,44.2
42,bench,0.432,84.25
43,person,0.8047,9.2
43,cat,0.638,7.94
43,bench,0.6272,45.04
43,bench,0.5138,79.84
44,cat,0.9054,11.97
44,person,0.772,13.2
44,book,0.598,9.03
44,bench,0.4986,45.98
44,bench,0.4925,7.43
44,bench,0.4015,82.14
45,cat,0.9136,14.09
45,chair,0.6495,43.05
45,person,0.5461,21.11
45,bench,0.5028,33.93
45,dog,0.4901,13.56
46,person,0.9426,29.78
46,cat,0.759,14.65
46,chair,0.5675,40.68
46,chair,0.4168,4.52
47,bear,0.7536,8.88
47,dog,0.6907,8.51
48,person,0.4429,2.11
49,train,0.9076,3.11
50,train,0.7578,5.08
50,boat,0.4578,5.37
