frame,clase,confianza,area_porcentaje
1,chair,0.906,0.97
1,car,0.824,0.73
1,bench,0.5468,2.53
2,car,0.9484,0.57
2,chair,0.8145,1.11
3,car,0.9481,0.67
3,chair,0.6878,0.98
3,car,0.6387,0.16
4,car,0.8092,0.72
4,chair,0.7842,1.54
4,dining table,0.5794,0.15
4,chair,0.4293,0.92
5,chair,0.4449,1.13
6,car,0.8965,0.34
6,car,0.5199,0.63
7,chair,0.4812,1.61
8,dining table,0.7026,0.17
8,chair,0.6248,1.38
8,chair,0.557,0.98
8,car,0.5532,0.37
8,dining table,0.5361,1.54
8,dining table,0.4105,0.29
8,truck,0.4023,0.39
14,person,0.8351,42.41
14,person,0.7549,56.24
14,person,0.7461,16.99
14,person,0.4817,20.38
15,person,0.7556,63.47
15,person,0.6135,52.23
15,person,0.6082,26.43
15,person,0.5855,28.57
15,person,0.4386,12.8
16,person,0.7337,76.34
16,person,0.4136,37.14
21,car,0.9986,5.81
21,car,0.9954,0.8
21,car,0.993,1.29
21,car,0.992,0.71
21,car,0.9649,1.44
21,car,0.9528,1.34
21,car,0.9486,5.28
21,car,0.7164,0.45
22,car,0.9961,0.5
22,car,0.9961,2.71
22,car,0.9952,0.78
22,car,0.9949,1.55
22,car,0.9922,1.27
22,car,0.9802,0.51
22,car,0.9765,0.38
22,car,0.8741,5.39
23,car,0.9959,0.47
23,car,0.9955,0.75
23,car,0.9945,1.07
23,car,0.9918,1.29
23,car,0.981,0.41
23,car,0.9557,0.26
23,car,0.9333,0.69
23,car,0.9241,0.32
24,car,0.9962,0.48
24,car,0.9961,0.78
24,car,0.9926,0.38
24,car,0.9919,0.45
24,car,0.9734,1.34
24,car,0.9703,0.26
24,car,0.9521,0.87
24,car,0.9365,0.36
25,car,0.9966,0.74
25,car,0.9949,0.44
25,car,0.9903,1.24
25,car,0.9854,0.38
25,car,0.9732,0.82
25,car,0.9655,0.25
25,car,0.9646,1.6
25,car,0.953,0.36
26,car,0.9969,0.44
26,car,0.9926,0.71
26,car,0.9911,1.29
26,car,0.9811,0.41
26,car,0.9767,0.34
26,car,0.9605,1.54
26,car,0.9582,0.25
26,car,0.9504,0.24
27,car,0.9941,0.71
27,car,0.9904,0.41
27,car,0.9674,0.48
27,car,0.9645,1.25
27,car,0.9468,0.31
27,car,0.9284,5.79
27,car,0.9145,0.26
27,car,0.9127,1.79
28,car,0.9963,0.44
28,car,0.9962,0.78
28,car,0.9868,1.34
28,car,0.9724,0.53
28,car,0.9026,1.81
28,car,0.8842,0.28
28,car,0.8743,0.22
28,car,0.8024,0.33
29,car,0.997,0.78
29,car,0.9891,0.47
29,car,0.9857,1.29
29,car,0.9851,0.42
29,car,0.9486,0.27
29,car,0.9358,0.28
29,car,0.9327,0.31
29,car,0.9167,0.22
30,car,0.956,0.3
30,car,0.7946,0.42
30,car,0.6649,0.52
30,train,0.5675,92.75
30,apple,0.4166,0.3
31,car,0.9382,0.33
31,car,0.7515,0.44
31,car,0.7339,0.38
31,train,0.4884,91.89
31,parking meter,0.4796,0.57
31,bird,0.4531,0.43
31,sheep,0.4338,1.4
32,car,0.9464,0.5
32,car,0.9301,0.49
32,car,0.9177,0.39
32,car,0.7405,0.68
32,car,0.5093,0.39
32,car,0.4683,1.08
32,train,0.4386,94.7
33,car,0.9736,0.61
33,car,0.8468,0.65
33,car,0.5564,0.5
33,car,0.4699,0.69
34,car,0.9788,0.7
34,car,0.8043,0.74
36,car,0.9173,0.21
36,apple,0.6606,0.3
36,car,0.5656,0.47
36,car,0.4427,0.16
38,person,0.4484,1.53
41,bus,0.8347,1.4
41,person,0.4723,0.18
42,person,0.9557,3.26
42,person,0.9296,3.53
42,person,0.8381,1.69
42,person,0.5551,7.12
42,refrigerator,0.4812,28.97
42,refrigerator,0.4188,71.25
43,person,0.9945,7.64
43,person,0.9929,10.23
43,umbrella,0.545,1.96
43,snowboard,0.5227,19.65
44,person,0.9921,21.76
44,person,0.9524,11.02
44,snowboard,0.573,15.23
45,person,0.644,9.23
45,person,0.6172,4.47
46,person,0.8227,4.67
46,person,0.6892,10.31
47,tv,0.7255,40.31
47,tv,0.4072,83.75
47,bird,0.4021,3.83
49,person,0.9982,22.35
49,person,0.9964,13.46
49,person,0.9926,10.92
49,person,0.9897,23.48
49,handbag,0.5247,2.43
50,person,0.9961,29.69
50,person,0.9939,9.28
50,person,0.9854,25.0
50,person,0.591,2.82
50,person,0.5734,53.9
