frame,clase,confianza,area_porcentaje
1,person,0.7681,3.76
1,person,0.6923,7.05
2,person,0.7369,3.38
2,dining table,0.6373,34.46
2,person,0.625,6.65
2,pizza,0.6056,3.12
2,pizza,0.5181,1.49
2,donut,0.4974,1.03
3,donut,0.559,11.69
3,donut,0.4916,30.28
4,banana,0.6306,6.84
4,donut,0.5238,95.09
5,person,0.6454,6.79
5,person,0.5726,94.64
5,person,0.5673,29.46
7,bed,0.5299,78.38
7,dining table,0.4894,39.73
8,keyboard,0.7756,14.81
8,book,0.4251,59.9
8,bed,0.4091,94.64
10,car,0.9236,10.29
10,banana,0.8244,3.31
10,dining table,0.7786,28.73
10,car,0.6477,59.83
10,donut,0.6245,1.17
10,car,0.4872,2.89
11,banana,0.9278,3.33
11,car,0.8599,13.76
11,spoon,0.8568,14.12
11,car,0.6321,36.37
11,motorcycle,0.6223,51.4
11,donut,0.5622,1.41
11,knife,0.5215,3.48
12,banana,0.9644,0.81
12,knife,0.7008,5.65
12,suitcase,0.4833,2.16
13,backpack,0.6192,1.81
13,person,0.4764,1.77
14,person,0.7993,1.19
14,scissors,0.5388,61.9
15,person,0.5617,51.07
15,person,0.4439,27.43
16,bowl,0.7287,9.33
16,spoon,0.5261,2.53
17,carrot,0.802,6.15
17,cup,0.716,2.36
17,person,0.7096,4.29
17,person,0.6817,1.72
17,wine glass,0.5518,7.79
17,hot dog,0.5447,1.35
17,carrot,0.5361,4.79
17,carrot,0.4616,0.77
18,carrot,0.7612,6.78
18,hot dog,0.7558,1.52
18,carrot,0.7363,1.19
18,carrot,0.7355,1.18
18,carrot,0.6754,5.48
18,carrot,0.6689,4.82
18,carrot,0.6236,1.19
18,carrot,0.6053,1.24
19,dining table,0.5125,78.12
19,wine glass,0.4427,4.65
20,dining table,0.7576,81.25
20,wine glass,0.7292,4.35
20,cup,0.5392,4.24
21,dining table,0.7491,89.45
21,bowl,0.5914,42.45
22,dining table,0.5494,89.61
23,dining table,0.6639,89.65
23,wine glass,0.4012,4.77
24,wine glass,0.7488,5.08
24,dining table,0.6713,89.73
24,cup,0.5046,5.61
24,bowl,0.4567,44.33
25,bowl,0.5687,43.3
25,dining table,0.5578,83.93
25,wine glass,0.5469,4.88
26,cup,0.8775,4.95
26,dining table,0.6732,78.12
26,wine glass,0.5589,5.86
27,bench,0.87,5.79
27,bench,0.6807,12.68
27,bed,0.5312,21.06
27,bench,0.4861,20.43
27,person,0.4173,2.79
28,person,0.9825,7.43
28,person,0.9777,4.57
28,person,0.7408,6.94
28,bench,0.5455,17.77
29,person,0.963,4.55
29,person,0.9543,7.31
29,person,0.6319,8.37
29,person,0.5318,1.18
29,bench,0.4974,19.57
29,laptop,0.4632,8.49
29,bed,0.4275,21.69
29,sink,0.4266,2.54
30,person,0.9815,5.39
30,person,0.9734,4.89
30,person,0.7241,2.63
30,person,0.7076,8.84
30,bench,0.6694,18.27
30,person,0.6282,0.45
30,chair,0.5034,10.76
31,person,0.9582,4.56
31,person,0.9493,6.04
31,person,0.7242,6.98
31,bench,0.6733,20.66
31,person,0.6451,2.16
31,chair,0.6392,5.55
31,person,0.4394,0.45
31,dining table,0.4187,15.28
32,person,0.9937,5.43
32,person,0.7972,3.54
32,chair,0.7597,9.15
32,bench,0.6842,22.56
32,person,0.6554,11.76
32,person,0.5245,1.72
32,chair,0.5062,4.14
32,bench,0.475,45.16
33,person,0.9708,5.59
33,bench,0.8127,18.74
33,person,0.7748,2.31
33,chair,0.7257,12.37
33,person,0.7147,4.18
33,laptop,0.511,9.57
33,bench,0.4712,45.82
33,person,0.4364,6.11
34,person,0.9809,6.28
34,bench,0.6972,21.93
34,person,0.6698,2.61
34,laptop,0.5948,9.04
34,chair,0.5322,10.12
34,chair,0.5221,3.86
34,chair,0.4845,15.9
34,chair,0.4626,9.72
35,person,0.905,5.91
35,chair,0.8792,5.11
35,person,0.8249,2.89
35,bed,0.6193,26.73
35,chair,0.5139,4.58
35,person,0.4776,3.66
35,chair,0.467,0.24
35,dining table,0.4466,29.61
36,person,0.8812,58.48
39,dining table,0.4063,86.38
40,dining table,0.5863,85.15
41,dining table,0.4157,87.91
43,chair,0.9362,5.61
43,airplane,0.4107,62.55
43,knife,0.4061,8.45
43,skateboard,0.403,6.87
44,chair,0.9476,5.91
44,skateboard,0.6947,4.97
44,knife,0.5635,6.72
44,skateboard,0.4092,18.03
45,chair,0.9196,5.74
45,toothbrush,0.8248,0.91
45,skateboard,0.6657,5.26
45,bottle,0.6182,4.44
45,chair,0.4369,5.63
46,laptop,0.6096,8.2
46,chair,0.5952,8.39
47,chair,0.8493,7.59
47,laptop,0.5812,5.64
47,skateboard,0.5627,18.49
48,chair,0.8813,7.84
48,carrot,0.5151,1.89
48,hot dog,0.4977,1.67
48,person,0.495,1.84
48,carrot,0.463,1.13
49,carrot,0.8881,5.74
49,chair,0.8553,8.11
49,carrot,0.5222,1.34
49,carrot,0.4397,1.48
49,carrot,0.4243,1.21
49,carrot,0.4061,0.53
50,hot dog,0.9413,1.6
50,carrot,0.9145,2.02
50,chair,0.8386,7.72
50,carrot,0.6994,1.16
50,chair,0.6182,11.85
50,toothbrush,0.5077,0.83
50,cell phone,0.4277,3.54
50,chair,0.4148,6.36
