frame,clase,confianza,area_porcentaje
1,person,0.8741,34.87
2,person,0.9059,33.86
2,person,0.6818,9.42
3,dog,0.8328,20.89
3,person,0.7829,29.44
3,person,0.6161,8.35
3,person,0.5849,6.38
3,person,0.4144,30.51
4,person,0.8596,9.39
4,dog,0.7914,27.2
4,person,0.5768,28.61
4,person,0.4376,4.23
5,person,0.934,9.3
5,person,0.8165,37.63
5,dog,0.5731,26.27
6,person,0.9234,9.75
6,person,0.7399,26.63
6,book,0.4932,10.35
6,person,0.4322,24.96
6,dog,0.4222,20.0
7,person,0.926,32.54
7,person,0.8639,10.42
7,person,0.606,4.03
7,chair,0.4936,11.85
8,person,0.9122,10.48
8,cat,0.8141,17.37
8,person,0.7843,23.88
9,person,0.8968,8.79
9,dog,0.7665,30.77
9,person,0.5435,9.48
9,person,0.5204,23.21
9,person,0.5134,41.11
10,person,0.9404,8.69
10,person,0.7634,42.34
10,person,0.5817,48.75
10,person,0.5008,22.97
11,person,0.9011,55.54
11,person,0.8714,8.96
11,scissors,0.7139,5.0
11,person,0.7052,19.34
11,chair,0.6991,16.46
11,person,0.6058,23.85
12,person,0.7667,86.2
12,person,0.6961,27.89
12,person,0.429,4.44
13,person,0.7943,25.97
13,person,0.7028,70.12
14,person,0.8388,94.44
14,person,0.8052,31.27
14,person,0.483,48.84
15,person,0.8311,25.83
15,person,0.5845,62.97
16,person,0.8314,27.56
16,remote,0.595,4.9
16,person,0.4747,77.21
17,person,0.7658,12.91
17,person,0.4973,25.93
18,person,0.6041,24.34
19,person,0.5449,10.64
19,person,0.4908,22.59
19,person,0.4228,40.9
20,person,0.5443,21.69
20,remote,0.4392,11.63
23,tv,0.5332,36.13
23,tv,0.4404,76.42
36,person,0.8144,74.31
36,cow,0.5759,13.08
36,dog,0.5304,12.38
37,dog,0.8778,14.13
37,person,0.748,64.25
37,cow,0.6458,14.09
37,dog,0.4426,34.01
38,person,0.8354,68.32
38,cow,0.7585,17.15
38,dog,0.498,15.97
38,cow,0.4783,48.55
39,person,0.8347,64.37
39,cow,0.5041,14.32
40,person,0.8598,60.97
40,cow,0.5778,16.19
40,person,0.5437,11.88
41,cow,0.7517,14.98
41,person,0.7395,62.55
41,person,0.5909,12.66
42,person,0.7811,62.16
42,person,0.6629,12.84
42,dog,0.6019,13.47
42,cow,0.4618,13.55
42,dog,0.4233,50.96
43,bird,0.8315,2.78
43,cow,0.6051,15.05
43,person,0.5744,13.3
43,person,0.5627,72.3
43,dog,0.4248,14.75
43,cow,0.4118,65.44
44,cow,0.8969,13.15
44,person,0.6041,69.51
44,person,0.5121,11.46
45,person,0.9075,58.5
45,cat,0.7793,8.05
46,person,0.7086,76.19
46,cat,0.5715,7.96
46,dog,0.5244,7.88
47,person,0.7951,74.38
48,person,0.7234,71.67
48,dog,0.5244,39.44
49,person,0.8542,72.08
50,cat,0.7756,8.9
50,person,0.7347,66.46
