frame,clase,confianza,area_porcentaje
1,cat,0.8766,18.31
1,dog,0.823,10.29
1,dog,0.7874,22.15
1,dog,0.725,17.65
1,tv,0.6714,6.22
1,person,0.508,8.05
1,cat,0.4332,19.16
1,person,0.4256,44.79
2,cat,0.9495,21.68
2,dog,0.84,9.59
2,dog,0.7836,16.06
2,person,0.7741,13.81
2,cat,0.7507,15.79
2,person,0.6406,12.24
2,person,0.4745,46.76
2,tv,0.442,6.81
3,dog,0.9329,10.13
3,cat,0.8895,21.05
3,cat,0.8266,14.14
3,dog,0.7658,19.56
3,dog,0.7514,14.11
3,dog,0.6803,35.62
3,dog,0.5667,20.69
3,person,0.5239,19.63
4,book,0.776,21.36
5,book,0.7574,21.39
6,book,0.6301,24.58
6,kite,0.6199,3.5
6,person,0.4628,1.18
7,clock,0.5921,27.63
8,scissors,0.4119,9.88
9,knife,0.7545,1.04
9,scissors,0.624,1.8
9,knife,0.4491,0.74
10,knife,0.8396,0.94
10,cat,0.7366,5.51
10,book,0.722,8.54
10,cat,0.696,7.66
10,hot dog,0.5848,0.91
11,book,0.8384,8.92
11,knife,0.7935,0.96
11,cat,0.6216,8.81
11,dining table,0.5595,58.48
11,vase,0.4815,13.45
12,knife,0.8026,0.93
12,cat,0.7976,8.16
12,dining table,0.507,53.62
12,book,0.4992,8.81
13,book,0.8129,9.42
13,dining table,0.6883,52.91
13,knife,0.6565,0.92
13,cat,0.5957,7.29
13,vase,0.426,15.49
13,cake,0.4072,30.48
14,book,0.8713,8.57
14,cat,0.8162,8.57
14,knife,0.701,0.96
14,dining table,0.5521,66.48
14,cake,0.5208,32.4
15,book,0.8434,8.83
15,cat,0.7766,8.49
15,knife,0.6522,0.96
15,cake,0.5792,33.49
15,dining table,0.5537,65.65
16,knife,0.7698,0.93
16,book,0.7288,9.01
16,dining table,0.5959,52.96
16,cake,0.4229,29.39
17,knife,0.7736,0.94
17,dining table,0.6788,52.98
17,book,0.6646,9.29
17,cake,0.6516,33.12
18,knife,0.7082,0.92
18,book,0.5865,9.69
18,cat,0.4742,8.04
18,dining table,0.4585,51.44
18,bed,0.4494,92.05
19,knife,0.7136,0.92
19,book,0.5973,9.92
19,dining table,0.5887,53.99
19,cat,0.4791,8.02
19,cake,0.4654,30.04
19,chair,0.4027,27.14
20,book,0.7023,9.93
20,vase,0.566,14.31
20,knife,0.5376,0.93
20,dining table,0.521,48.42
20,cake,0.4689,32.28
20,chair,0.4086,23.98
20,chair,0.4083,12.12
21,knife,0.7116,0.99
21,book,0.618,9.48
21,hot dog,0.6066,1.05
21,dining table,0.5724,57.33
21,cake,0.4286,32.18
21,handbag,0.402,9.97
24,cat,0.87,4.47
24,book,0.67,26.28
24,cake,0.5112,24.25
25,book,0.8448,27.89
25,cake,0.785,25.12
25,cat,0.7637,4.86
26,cake,0.7981,24.86
26,cat,0.7863,4.53
26,book,0.6319,26.93
27,cake,0.7375,24.58
27,book,0.688,25.16
27,cat,0.607,5.23
28,cake,0.7517,24.76
28,book,0.6379,27.78
29,person,0.7936,0.48
29,cake,0.7815,23.86
29,book,0.6509,25.55
29,cat,0.4511,4.47
30,cake,0.7691,23.66
30,book,0.6441,25.79
31,cake,0.8498,24.62
31,book,0.756,25.98
31,cat,0.59,4.74
32,cake,0.8442,24.38
32,book,0.6752,26.43
32,cat,0.4025,4.47
33,cake,0.8208,24.55
33,book,0.7635,25.97
34,cake,0.8271,24.25
34,book,0.594,26.29
35,cake,0.806,23.59
35,book,0.5505,25.75
36,cake,0.8055,24.04
36,book,0.5633,25.98
36,cat,0.4634,4.4
37,cake,0.7965,23.81
37,book,0.5587,25.75
39,person,0.7214,33.22
39,chair,0.7093,7.31
39,person,0.5394,16.33
39,person,0.5385,32.17
39,dog,0.4969,4.62
39,dog,0.4894,9.09
39,bottle,0.4803,1.51
40,person,0.7768,19.0
40,refrigerator,0.6942,16.37
40,person,0.6622,36.23
40,horse,0.6608,4.1
40,cell phone,0.652,0.5
40,horse,0.5864,7.7
40,dog,0.5449,19.49
40,person,0.5153,28.11
41,person,0.8821,44.19
41,toilet,0.7119,20.78
41,cat,0.6456,25.55
41,chair,0.6399,21.1
41,zebra,0.4716,15.59
41,person,0.446,28.62
42,person,0.8518,43.16
42,chair,0.6428,4.19
42,bottle,0.6317,3.01
42,chair,0.5675,8.97
42,person,0.5202,28.57
42,dog,0.4533,26.54
42,cat,0.4398,23.78
43,dog,0.7834,29.03
43,person,0.723,47.39
43,person,0.6824,27.96
44,person,0.6453,27.21
44,dog,0.5458,29.58
45,person,0.9537,19.67
45,person,0.5749,12.57
45,person,0.5238,49.97
45,person,0.4872,24.65
46,person,0.8682,27.08
46,dog,0.8096,38.3
46,person,0.5458,4.01
46,person,0.4277,10.22
46,chair,0.4035,6.02
47,cow,0.7458,22.63
47,horse,0.6183,29.88
47,person,0.615,22.52
47,person,0.579,16.5
47,dog,0.4796,34.99
47,horse,0.4109,23.47
48,person,0.662,7.36
48,dog,0.5781,29.11
48,potted plant,0.5176,2.15
48,dog,0.487,12.84
48,cow,0.4719,12.19
48,person,0.4661,5.32
49,potted plant,0.7496,10.21
49,person,0.5156,6.53
49,banana,0.4419,3.59
50,potted plant,0.83,10.95
50,person,0.6516,31.7
50,person,0.4761,6.26
